timestamp_s,rtt_ms
0.0,27.118
0.1,28.343
0.2,30.456
0.3,29.915
0.4,29.05
0.5,29.95
0.6,29.435
0.7,26.119
0.8,25.848
0.9,26.59
1.0,29.498
1.1,27.25
1.2,35.007
1.3,25.542
1.4,24.703
1.5,30.305
1.6,32.266
1.7,29.517
1.8,30.507
1.9,32.279
2.0,27.718
2.1,23.731
2.2,26.404
2.3,30.859
2.4,23.669
2.5,28.101
2.6,28.76
2.7,27.053
2.8,30.171
2.9,29.742
3.0,34.964
3.1,29.86
3.2,26.172
3.3,26.315
3.4,25.505
3.5,30.857
3.6,26.3
3.7,27.789
3.8,30.248
3.9,25.83
4.0,27.119
4.1,22.476
4.2,24.753
4.3,26.297
4.4,29.247
4.5,31.58
4.6,27.945
4.7,28.784
4.8,28.504
4.9,31.254
5.0,30.68
5.1,28.821
5.2,24.967
5.3,30.71
5.4,29.143
5.5,31.681
5.6,27.91
5.7,33.859
5.8,26.923
5.9,32.779
6.0,28.345
6.1,26.451
6.2,24.615
6.3,27.547
6.4,32.27
6.5,30.449
6.6,30.067
6.7,20.872
6.8,30.133
6.9,29.668
7.0,26.35
7.1,26.118
7.2,27.993
7.3,33.175
7.4,24.835
7.5,26.717
7.6,32.085
7.7,26.662
7.8,26.907
7.9,28.293
8.0,24.276
8.1,28.66
8.2,24.371
8.3,30.656
8.4,28.01
8.5,34.85
8.6,28.843
8.7,32.097
8.8,24.09
8.9,27.634
9.0,28.969
9.1,33.237
9.2,22.957
9.3,30.972
9.4,29.774
9.5,32.601
9.6,30.137
9.7,28.156
9.8,26.435
9.9,24.255
10.0,28.586
10.1,27.425
10.2,34.061
10.3,26.167
10.4,28.961
10.5,23.293
10.6,26.814
10.7,28.783
10.8,30.472
10.9,32.344
11.0,27.868
11.1,24.648
11.2,29.374
11.3,29.551
11.4,29.475
11.5,25.899
11.6,31.4
11.7,28.264
11.8,30.099
11.9,31.822
12.0,29.828
12.1,28.86
12.2,34.458
12.3,28.731
12.4,27.112
12.5,28.336
12.6,32.448
12.7,28.356
12.8,29.558
12.9,31.587
13.0,26.461
13.1,22.82
13.2,28.898
13.3,28.689
13.4,26.176
13.5,30.613
13.6,29.823
13.7,25.015
13.8,29.555
13.9,27.412
14.0,23.551
14.1,29.359
14.2,27.864
14.3,25.764
14.4,29.569
14.5,29.464
14.6,26.267
14.7,120.396
14.8,61.76
14.9,44.934
15.0,34.798
15.1,30.442
15.2,25.098
15.3,38.844
15.4,31.568
15.5,32.069
15.6,21.22
15.7,33.217
15.8,25.398
15.9,29.736
16.0,30.992
16.1,28.686
16.2,30.959
16.3,30.732
16.4,29.055
16.5,30.345
16.6,27.783
16.7,28.702
16.8,24.77
16.9,21.33
17.0,31.504
17.1,31.82
17.2,27.89
17.3,27.657
17.4,26.294
17.5,25.716
17.6,35.559
17.7,24.704
17.8,26.21
17.9,27.987
18.0,26.971
18.1,24.938
18.2,26.21
18.3,29.056
18.4,26.597
18.5,29.189
18.6,27.701
18.7,29.583
18.8,31.71
18.9,27.005
19.0,26.041
19.1,32.601
19.2,32.314
19.3,28.096
19.4,32.03
19.5,25.712
19.6,25.868
19.7,24.844
19.8,26.169
19.9,29.86
20.0,27.191
20.1,27.533
20.2,25.834
20.3,24.449
20.4,30.727
20.5,27.192
20.6,30.488
20.7,28.014
20.8,26.836
20.9,17.575
21.0,30.797
21.1,29.17
21.2,27.971
21.3,28.54
21.4,30.292
21.5,33.652
21.6,25.48
21.7,30.091
21.8,26.018
21.9,31.113
22.0,32.755
22.1,26.812
22.2,24.048
22.3,32.357
22.4,27.65
22.5,33.523
22.6,28.272
22.7,26.648
22.8,32.216
22.9,29.494
23.0,27.397
23.1,29.068
23.2,28.947
23.3,25.74
23.4,27.215
23.5,24.227
23.6,25.08
23.7,29.223
23.8,32.075
23.9,27.695
24.0,31.461
24.1,32.807
24.2,24.748
24.3,30.634
24.4,29.726
24.5,27.958
24.6,28.249
24.7,28.565
24.8,23.766
24.9,27.63
25.0,32.919
25.1,24.996
25.2,26.989
25.3,29.184
25.4,28.072
25.5,32.82
25.6,23.648
25.7,22.541
25.8,26.392
25.9,26.525
26.0,27.158
26.1,29.793
26.2,29.849
26.3,32.308
26.4,24.828
26.5,32.116
26.6,23.069
26.7,28.564
26.8,30.202
26.9,32.17
27.0,31.143
27.1,30.287
27.2,25.961
27.3,26.738
27.4,26.805
27.5,33.426
27.6,25.442
27.7,33.413
27.8,27.185
27.9,28.494
28.0,27.544
28.1,27.773
28.2,25.314
28.3,32.899
28.4,25.725
28.5,31.596
28.6,23.873
28.7,27.444
28.8,33.25
28.9,32.735
29.0,31.822
29.1,29.342
29.2,26.348
29.3,86.899
29.4,70.088
29.5,36.446
29.6,28.65
29.7,25.169
29.8,33.286
29.9,30.375
30.0,27.499
30.1,26.09
30.2,25.647
30.3,31.693
30.4,27.561
30.5,29.378
30.6,27.447
30.7,29.849
30.8,27.652
30.9,30.292
31.0,27.45
31.1,30.489
31.2,30.017
31.3,27.65
31.4,25.421
31.5,25.18
31.6,25.778
31.7,25.047
31.8,30.597
31.9,27.86
32.0,32.71
32.1,34.838
32.2,28.073
32.3,23.356
32.4,26.856
32.5,27.774
32.6,23.535
32.7,27.249
32.8,28.861
32.9,26.622
33.0,25.695
33.1,25.724
33.2,33.36
33.3,27.521
33.4,25.51
33.5,26.881
33.6,30.863
33.7,25.946
33.8,29.446
33.9,30.184
34.0,30.247
34.1,32.199
34.2,26.349
34.3,31.398
34.4,25.621
34.5,26.81
34.6,31.588
34.7,30.467
34.8,28.006
34.9,24.426
35.0,29.685
35.1,26.109
35.2,25.228
35.3,26.056
35.4,28.739
35.5,21.637
35.6,29.082
35.7,28.522
35.8,26.246
35.9,31.111
36.0,29.834
36.1,26.181
36.2,25.99
36.3,30.085
36.4,23.452
36.5,27.002
36.6,26.107
36.7,28.21
36.8,28.633
36.9,28.11
37.0,31.405
37.1,28.684
37.2,27.055
37.3,24.367
37.4,30.166
37.5,29.584
37.6,32.352
37.7,25.758
37.8,28.079
37.9,27.824
38.0,27.737
38.1,28.031
38.2,22.856
38.3,30.475
38.4,29.96
38.5,31.391
38.6,34.749
38.7,27.043
38.8,27.892
38.9,28.029
39.0,33.827
39.1,22.806
39.2,29.457
39.3,23.588
39.4,20.255
39.5,21.938
39.6,23.855
39.7,31.207
39.8,25.395
39.9,27.318
40.0,24.509
40.1,29.833
40.2,24.694
40.3,31.953
40.4,25.021
40.5,25.706
40.6,28.368
40.7,28.074
40.8,32.274
40.9,28.361
41.0,24.376
41.1,26.319
41.2,26.282
41.3,30.175
41.4,29.151
